product_id,stock
P0001,231
P0002,204
P0003,102
P0004,469
P0005,166
P0006,138
P0007,359
P0008,380
P0009,183
P0010,108
P0011,258
P0012,66
P0013,96
P0014,193
P0015,379
P0016,363
P0017,318
P0018,241
P0019,352
P0020,274
P0001,343
P0002,373
P0003,445
P0004,191
P0005,281
P0006,492
P0007,460
P0008,304
P0009,113
P0010,157
P0011,67
P0012,281
P0013,389
P0014,465
P0015,197
P0016,242
P0017,398
P0018,234
P0019,67
P0020,221
P0001,241
P0002,115
P0003,375
P0004,153
P0005,438
P0006,456
P0007,189
P0008,223
P0009,381
P0010,166
P0011,292
P0012,311
P0013,51
P0014,398
P0015,445
P0016,487
P0017,429
P0018,204
P0019,330
P0020,431
P0001,477
P0002,462
P0003,446
P0004,437
P0005,397
P0006,470
P0007,264
P0008,250
P0009,63
P0010,447
P0011,205
P0012,349
P0013,191
P0014,406
P0015,228
P0016,263
P0017,203
P0018,143
P0019,359
P0020,211
P0001,111
P0002,415
P0003,384
P0004,436
P0005,180
P0006,185
P0007,292
P0008,478
P0009,182
P0010,87
P0011,427
P0012,245
P0013,317
P0014,325
P0015,411
P0016,71
P0017,388
P0018,161
P0019,235
P0020,108
P0001,116
P0002,416
P0003,488
P0004,248
P0005,238
P0006,471
P0007,178
P0008,92
P0009,99
P0010,171
P0011,215
P0012,281
P0013,455
P0014,84
P0015,246
P0016,399
P0017,242
P0018,478
P0019,156
P0020,221
P0001,402
P0002,132
P0003,218
P0004,131
P0005,93
P0006,344
P0007,340
P0008,241
P0009,296
P0010,472
P0011,308
P0012,434
P0013,287
P0014,190
P0015,353
P0016,210
P0017,193
P0018,124
P0019,492
P0020,222
P0001,277
P0002,175
P0003,157
P0004,120
P0005,375
P0006,302
P0007,375
P0008,248
P0009,219
P0010,146
P0011,218
P0012,260
P0013,414
P0014,420
P0015,435
P0016,230
P0017,456
P0018,319
P0019,59
P0020,155
P0001,144
P0002,283
P0003,347
P0004,410
P0005,99
P0006,97
P0007,339
P0008,144
P0009,110
P0010,348
P0011,458
P0012,403
P0013,198
P0014,472
P0015,178
P0016,215
P0017,477
P0018,198
P0019,110
P0020,254
P0001,223
P0002,100
P0003,397
P0004,442
P0005,411
P0006,76
P0007,257
P0008,353
P0009,119
P0010,403
P0011,60
P0012,182
P0013,455
P0014,437
P0015,289
P0016,487
P0017,418
P0018,89
P0019,421
P0020,211
P0001,154
P0002,282
P0003,183
P0004,239
P0005,368
P0006,57
P0007,460
P0008,214
P0009,407
P0010,51
P0011,252
P0012,72
P0013,194
P0014,302
P0015,330
P0016,148
P0017,315
P0018,97
P0019,240
P0020,178
P0001,405
P0002,200
P0003,327
P0004,409
P0005,327
P0006,388
P0007,483
P0008,70
P0009,288
P0010,270
P0011,217
P0012,221
P0013,303
P0014,298
P0015,193
P0016,205
P0017,427
P0018,365
P0019,111
P0020,271
P0001,134
P0002,405
P0003,290
P0004,403
P0005,311
P0006,448
P0007,277
P0008,421
P0009,241
P0010,186
P0011,413
P0012,112
P0013,268
P0014,347
P0015,495
P0016,324
P0017,330
P0018,297
P0019,169
P0020,257
P0001,175
P0002,228
P0003,188
P0004,211
P0005,149
P0006,383
P0007,478
P0008,217
P0009,73
P0010,467
P0011,353
P0012,471
P0013,129
P0014,301
P0015,423
P0016,385
P0017,74
P0018,467
P0019,140
P0020,197
P0001,159
P0002,322
P0003,106
P0004,475
P0005,83
P0006,117
P0007,368
P0008,207
P0009,398
P0010,476
P0011,119
P0012,77
P0013,191
P0014,419
P0015,184
P0016,361
P0017,154
P0018,376
P0019,268
P0020,451
P0001,85
P0002,91
P0003,184
P0004,209
P0005,470
P0006,127
P0007,367
P0008,404
P0009,403
P0010,494
P0011,421
P0012,150
P0013,94
P0014,77
P0015,430
P0016,168
P0017,353
P0018,380
P0019,127
P0020,153
P0001,108
P0002,109
P0003,493
P0004,289
P0005,425
P0006,118
P0007,449
P0008,184
P0009,239
P0010,216
P0011,291
P0012,74
P0013,429
P0014,467
P0015,121
P0016,134
P0017,152
P0018,236
P0019,253
P0020,403
P0001,335
P0002,293
P0003,169
P0004,294
P0005,69
P0006,328
P0007,173
P0008,108
P0009,494
P0010,366
P0011,441
P0012,181
P0013,330
P0014,228
P0015,344
P0016,336
P0017,355
P0018,431
P0019,172
P0020,145
P0001,487
P0002,216
P0003,236
P0004,260
P0005,435
P0006,499
P0007,180
P0008,128
P0009,291
P0010,444
P0011,281
P0012,189
P0013,80
P0014,314
P0015,167
P0016,129
P0017,425
P0018,103
P0019,471
P0020,364
P0001,383
P0002,495
P0003,439
P0004,101
P0005,292
P0006,466
P0007,175
P0008,327
P0009,194
P0010,349
P0011,237
P0012,220
P0013,86
P0014,334
P0015,186
P0016,288
P0017,460
P0018,482
P0019,278
P0020,128
P0001,238
P0002,270
P0003,216
P0004,172
P0005,405
P0006,338
P0007,409
P0008,102
P0009,433
P0010,288
P0011,485
P0012,414
P0013,370
P0014,233
P0015,272
P0016,189
P0017,120
P0018,248
P0019,492
P0020,355
P0001,250
P0002,182
P0003,274
P0004,148
P0005,241
P0006,131
P0007,80
P0008,483
P0009,228
P0010,202
P0011,440
P0012,264
P0013,296
P0014,201
P0015,70
P0016,176
P0017,399
P0018,294
P0019,222
P0020,123
P0001,388
P0002,191
P0003,370
P0004,463
P0005,140
P0006,314
P0007,79
P0008,411
P0009,117
P0010,109
P0011,438
P0012,480
P0013,284
P0014,444
P0015,278
P0016,202
P0017,192
P0018,168
P0019,308
P0020,286
P0001,201
P0002,135
P0003,258
P0004,357
P0005,387
P0006,378
P0007,249
P0008,448
P0009,348
P0010,412
P0011,344
P0012,475
P0013,400
P0014,424
P0015,441
P0016,421
P0017,278
P0018,319
P0019,353
P0020,149
P0001,371
P0002,98
P0003,318
P0004,200
P0005,299
P0006,392
P0007,399
P0008,192
P0009,149
P0010,406
P0011,91
P0012,228
P0013,68
P0014,358
P0015,361
P0016,371
P0017,231
P0018,269
P0019,444
P0020,243
P0001,198
P0002,262
P0003,91
P0004,466
P0005,129
P0006,57
P0007,76
P0008,445
P0009,277
P0010,204
P0011,200
P0012,59
P0013,185
P0014,201
P0015,388
P0016,481
P0017,379
P0018,423
P0019,66
P0020,98
P0001,131
P0002,117
P0003,71
P0004,72
P0005,106
P0006,377
P0007,469
P0008,392
P0009,415
P0010,350
P0011,104
P0012,223
P0013,467
P0014,372
P0015,224
P0016,270
P0017,207
P0018,120
P0019,300
P0020,246
P0001,223
P0002,110
P0003,210
P0004,400
P0005,457
P0006,285
P0007,108
P0008,463
